Gender	Do.you.believe.in.God	Pick.Random.Number	Height	Hand	Dates	FB.Friends	Weight	Drinks	Varsity	Songs	Diet	Politics.9Cat	Politics.numeric	Politics.3Cat
Male	No	1	73	Predominantly Right Handed	0	739	206	0	Yes	1137	Omnivore	2. Very Liberal	2	Liberal
Male	No	8	69	Predominantly Right Handed	0	1367	173	0	No	2297	Omnivore	5. Independent/Middle of Road	5	Moderate
Male	No	8	71	Predominantly Right Handed	0	750	165	6	No	1155	Omnivore	2. Very Liberal	2	Liberal
Male	No	8	69	Predominantly Right Handed	1	772	155	6	No	1946	Omnivore	2. Very Liberal	2	Liberal
Male	Not sure	3	72	Predominantly Right Handed	1	450	190	0	Yes	1000	Omnivore	3. Moderately Liberal	3	Liberal
Male	Yes	6	72	Predominantly Right Handed	0	1300	170	6	Yes	1200	Omnivore	3. Moderately Liberal	3	Liberal
Female	No	5	63	Predominantly Left Handed	0	303	127	0	Yes	83	Omnivore	10. Other (please specify)	10	
Male	Don't want to answer	7	69	Predominantly Right Handed	0	1000	130	6	No	0	Omnivore	4. Conservative Democrat	4	Moderate
Male	Yes	4	70	Predominantly Right Handed	2	860	157	5	No	330	Omnivore	6. Liberal Republican	6	Moderate
Male	Yes	5	75	Predominantly Right Handed	0	800	180	6	Yes	200	Omnivore	5. Independent/Middle of Road	5	Moderate
Male	No	4	70	Predominantly Right Handed	0	400	180	2	No	1406	Carnivore	3. Moderately Liberal	3	Liberal
Male	Yes	8	75	Predominantly Right Handed	0	503	185	6	No	357	Omnivore	3. Moderately Liberal	3	Liberal
Male	No	2	71	Predominantly Right Handed	1	1243	185	5	Yes	1091	Omnivore	2. Very Liberal	2	Liberal
Female	Not sure	6	64	Predominantly Right Handed	0	1000	140	6	No	0	Omnivore	3. Moderately Liberal	3	Liberal
Female	No	7	72	Predominantly Right Handed	1	679	185	6	Yes	500	Omnivore	5. Independent/Middle of Road	5	Moderate
Male	Yes	8	75	Predominantly Right Handed	1	800	215	5	Yes	1100	Omnivore	4. Conservative Democrat	4	Moderate
Male	Yes	7	68	Predominantly Right Handed	1	870	175	0	Yes	100	Carnivore	7. Moderatly Conservative	7	Conservative
Female	Yes	4	65	Predominantly Right Handed	1	1168	200	4	No	158	Vegetarian	2. Very Liberal	2	Liberal
Male	Yes	4	73	Predominantly Left Handed	0	1034	220	0	No	723	Omnivore	2. Very Liberal	2	Liberal
Male	No	10	74	Predominantly Right Handed	1	717	180	0	Yes	3000	Omnivore	6. Liberal Republican	6	Moderate
Male	No	9	68	Predominantly Left Handed	1	526	185	0	No	600	Omnivore	6. Liberal Republican	6	Moderate
Male	Yes	7	67	Predominantly Right Handed	0	400	135	0	Yes	300	Omnivore	2. Very Liberal	2	Liberal
Male	No	5	70	Predominantly Right Handed	1	1066	167	0	No	0	Carnivore	1. Communist/Socialist	1	Liberal
Male	No	5	62	Predominantly Right Handed	0	567	130	0	No	0	Omnivore	5. Independent/Middle of Road	5	Moderate
Female	Yes	7	65	Predominantly Left Handed	3	1038	128	0	No	1449	Omnivore	2. Very Liberal	2	Liberal
Male	Yes	8	71	Predominantly Right Handed	1	861	165	0	No	0	Omnivore	2. Very Liberal	2	Liberal
Female	Not sure	9	63	Predominantly Right Handed	1	250	120	0	No	150	Vegetarian	2. Very Liberal	2	Liberal
Male	No	9	67.5	Predominantly Right Handed	1	636	145	0	No	28	Omnivore	2. Very Liberal	2	Liberal
Female	Not sure	8	65	Predominantly Right Handed	0	433	130	1	Yes	0	Vegetarian	2. Very Liberal	2	Liberal
Female	No	3	65	Predominantly Right Handed	0	465	170	0	No	563	Omnivore	2. Very Liberal	2	Liberal
Female	Not sure	2	67	Predominantly Right Handed	0	0	129	0	Yes	5000	Carnivore	2. Very Liberal	2	Liberal
Male	Not sure	6	71	Predominantly Left Handed	0	232	135	0	No	652	Omnivore	2. Very Liberal	2	Liberal
Female	Not sure	6	62.5	Predominantly Right Handed	1	1107	120	0	No	0	Omnivore	2. Very Liberal	2	Liberal
Female	No	4	67	Predominantly Right Handed	3	1237	143	4	Yes	0	Omnivore	3. Moderately Liberal	3	Liberal
Male	No	3	72	Predominantly Right Handed	0	585	151	2	Yes	507	Omnivore	3. Moderately Liberal	3	Liberal
Male	Yes	8	77	Predominantly Left Handed	1	500	285	0	Yes	25	Carnivore	7. Moderatly Conservative	7	Conservative
Female	No	10	65	Predominantly Right Handed	0	703	140	0	No	0	Vegetarian	3. Moderately Liberal	3	Liberal
Male	No	8	71	Predominantly Left Handed	1	868	179	2	No	6234	Omnivore	3. Moderately Liberal	3	Liberal
Male	No	9	70	Predominantly Right Handed	0	400	120	0	No	300	Omnivore	4. Conservative Democrat	4	Moderate
Male	Yes	7	76	Predominantly Right Handed	2	1200	175	0	Yes	250	Omnivore	7. Moderatly Conservative	7	Conservative
Female	Not sure	8	64	Predominantly Right Handed	1	1400	120	0	Yes	100	Omnivore	3. Moderately Liberal	3	Liberal
Female	Yes	8	56	Predominantly Right Handed	0	1300	145	3	Yes	700	Omnivore	6. Liberal Republican	6	Moderate
Male	Yes	5	72	Predominantly Right Handed	0	750	150	6	No	1001	Carnivore	3. Moderately Liberal	3	Liberal
Female	Yes	3	67	Predominantly Right Handed	1	1131	143	0	Yes	1000	Omnivore	9. Libertarian/Extreme Right	9	Conservative
Male	Not sure	2	68	Predominantly Right Handed	1	634	135	0	No	828	Omnivore	3. Moderately Liberal	3	Liberal
Female	Not sure	5	60	Predominantly Right Handed	1	400	125	0	No	3200	Omnivore	4. Conservative Democrat	4	Moderate
Male	Not sure	3	73	Predominantly Right Handed	1	781	150	0	No	2983	Omnivore	3. Moderately Liberal	3	Liberal
Male	No	5	70	Predominantly Right Handed	0	600	150	6	No	2500	Omnivore	9. Libertarian/Extreme Right	9	Conservative
Female	No	5	65	Predominantly Right Handed	0	536	130	0	No	0	Omnivore	3. Moderately Liberal	3	Liberal
Male	No	7	68	Predominantly Right Handed	0	830	143	5	No	300	Omnivore	2. Very Liberal	2	Liberal
Female	Not sure	4	64	Predominantly Right Handed	1	810	170	0	No	2084	Omnivore	2. Very Liberal	2	Liberal
Male	Not sure	7	71	Predominantly Right Handed	1	299	240	0	No	300	Omnivore	3. Moderately Liberal	3	Liberal
Female	No	7		Predominantly Right Handed	1	200	115	0	No	25	Omnivore	3. Moderately Liberal	3	Liberal
Male	Yes	6	70	Predominantly Left Handed	0	1308	135	4	No	152	Omnivore	3. Moderately Liberal	3	Liberal
Female	Yes	4	64	Predominantly Right Handed	1	929	125	0	Yes	200	Vegetarian	4. Conservative Democrat	4	Moderate
Female	No	8	66.5	Predominantly Right Handed	1	805	135	0	Yes	562	Omnivore	3. Moderately Liberal	3	Liberal
Male	No	7	75	Predominantly Left Handed	0	628	180	0	No	0	Omnivore	3. Moderately Liberal	3	Liberal
Male	Yes	1	66	Predominantly Right Handed	1	276	126	0	No	0	Omnivore	3. Moderately Liberal	3	Liberal
Male	No	6	70	Predominantly Right Handed	2	460	190	0	No	30	Omnivore	3. Moderately Liberal	3	Liberal
Male	No	7	71	Predominantly Right Handed	3	2000	200	6	Yes	3000	Omnivore	3. Moderately Liberal	3	Liberal
Female	Yes	3	64	Predominantly Right Handed	0	761	123	0	No	1800	Omnivore	5. Independent/Middle of Road	5	Moderate
Female	No	9	71	Predominantly Right Handed	1	717	154.8	0	No	0	Vegetarian	2. Very Liberal	2	Liberal
Female	No	4	63	Predominantly Right Handed	1	787	110	0	Yes	523		2. Very Liberal	2	Liberal
Male	No	1	69	Predominantly Right Handed	0	900	163	0	Yes	100	Vegetarian	3. Moderately Liberal	3	Liberal
Male	Not sure	8	69	Predominantly Right Handed	0	500	155	0	No	1300	Omnivore	4. Conservative Democrat	4	Moderate
Female	No	7	68	Predominantly Right Handed	0		180	1	No	200	Omnivore	1. Communist/Socialist	1	Liberal
